122,Jabil,Electronic Manufacturing Service,"25,282",14.40%,"200,000","St. Petersburg, Florida"
123,Kraft Heinz,Food processing,"24,977",4.90%,"37,000","Chicago, Illinois"
124,Duke Energy,Energy,"24,658",2.20%,"28,793","Charlotte, North Carolina"
125,PBF Energy,Petroleum industry,"24,508",9.90%,"3,442","Parsippany, New Jersey"
126,Qualcomm,Semiconductor,"24,273",7.40%,"37,000","San Diego, California"
127,NGL Energy Partners,Pipelines,"24,088",39.40%,"1,300","Tulsa, Oklahoma"
128,CBRE Group,Real estate,"23,894",12.00%,"100,000","Dallas, Texas"
129,Baker Hughes,Petroleum industry,"23,838",4.20%,"68,000","Houston, Texas"
130,Synnex,Information distribution,"23,757",18.50%,"240,900","Fremont, California"
131,Dollar Tree,Retail,"23,611",3.50%,"125,000","Chesapeake, Virginia"
132,Cummins,Automotive,"23,571",0.80%,"61,615","Columbus, Indiana"
133,United Natural Foods,Retail,"23,481",129.60%,"19,000","Providence, Rhode Island"
134,Micron Technology,Semiconductors,"23,406",23.00%,"37,000","Boise, Idaho"
135,Amgen,Biotechnology,"23,362",1.60%,"23,400","Thousand Oaks, California"
136,Penske Automotive Group,Transportation,"23,179",1.70%,"26,980","Bloomfield Hills, Michigan"
137,Visa ,Financial services,"22,977",11.50%,"19,500","Foster City, California"
138,Broadcom ,Semiconductor,"22,597",8.40%,"19,000","San Jose, California"
139,Nucor,Metals,"22,589",9.90%,"26,800","Charlotte, North Carolina"
140,Gilead Sciences,Pharmaceutical industry,"22,449",1.50%,"11,800","Foster City, California"
141,Southwest Airlines,Airlines,"22,428",2.10%,"60,767","Dallas, Texas"
142,Halliburton,Petroleum industry,"22,408",6.60%,"55,000","Houston, Texas"
143,CenturyLink,Telecommunication,"22,401",4.40%,"42,500","Monroe, Louisiana"
144,International Paper,Paper,"22,376",4.00%,"51,000","Memphis, Tennessee"
145,Eli Lilly and Company,Pharmaceutical industry,"22,320",9.10%,"33,625","Indianapolis, Indiana"
146,Aflac,Insurance,"22,307",2.50%,"11,729","Columbus, Georgia"
147,Lennar Corporation,Construction,"22,260",8.20%,"10,106","Miami, Florida"
148,Occidental Petroleum,Petroleum industry,"21,971",16.00%,"14,400","Houston, Texas"
149,Union Pacific Corporation,Transportation,"21,708",4.90%,"37,483","Omaha, Nebraska"
150,Rite Aid,Retail,"21,674",28.30%,"42,645","Camp Hill, Pennsylvania"
151,PNC Financial Services,Financial services,"21,624",8.20%,"50,968","Pittsburgh, Pennsylvania"
152,DuPont,Chemical industry,"21,512",75.00%,"35,000","Wilmington, Delaware"
153,Southern Company,Electric Utility,"21,419",8.80%,"27,943","Atlanta, Georgia"
154,AutoNation,Auto Retailer,"21,336",0.40%,"25,000","Fort Lauderdale, Florida"
155,DXC Technology,Information Technology,"21,184",13.70%,"130,000","Tysons, Virginia"
156,McDonald's,Food Chain,"21,077",0.20%,"205,000","Chicago, Illinois"
157,Marriott International,Hospitality,"20,972",1.00%,"174,000","Bethesda, Maryland"
158,ManpowerGroup,Human Resources,"20,864",5.10%,"28,000","Milwaukee, Wisconsin"
